Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,GPlatforms,Has_Score
Pac-Man World 2,PS2,2002.0,Action,Namco Bandai Games,1.26,0.05,0.0,0.21,1.51,73.0,19.0,7.8,26.0,Namco,E,Playstation,True
Mega Man 2,NES,1988.0,Action,Capcom,0.93,0.15,0.42,0.01,1.51,,,,,,,Other,False
Pac-Man World,PS,1998.0,Action,Namco Bandai Games,1.21,0.14,0.1,0.04,1.5,,,,,,,Playstation,False
Dead Rising 2,X360,2010.0,Action,Capcom,0.75,0.52,0.09,0.12,1.49,79.0,76.0,6.9,216.0,Blue Castle Games,M,Xbox,True
007: Quantum of Solace,X360,2008.0,Action,Activision,0.82,0.51,0.01,0.14,1.48,65.0,69.0,7.1,71.0,Treyarch,T,Xbox,True
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004.0,Action,Ubisoft,0.82,0.59,0.0,0.07,1.48,93.0,74.0,8.6,68.0,Ubisoft Shanghai,T,Xbox,True
Call of Duty Black Ops: Declassified,PSV,2012.0,Action,Activision,0.71,0.43,0.07,0.26,1.47,33.0,58.0,4.8,479.0,Nihilistic,M,Portable,True
Onimusha 3: Demon Siege,PS2,2004.0,Action,Capcom,0.37,0.47,0.54,0.07,1.45,85.0,53.0,8.6,73.0,Capcom,M,Playstation,True
Resident Evil: Outbreak,PS2,2003.0,Action,Capcom,0.54,0.35,0.46,0.1,1.45,71.0,40.0,8.3,94.0,Capcom,M,Playstation,True
Disney Infinity,X360,2013.0,Action,Disney Interactive Studios,0.97,0.34,0.0,0.13,1.44,74.0,38.0,6.5,79.0,Avalanche Software,E10+,Xbox,True
Resident Evil (Remake),GC,2002.0,Action,Capcom,0.63,0.38,0.35,0.05,1.42,,,,,,,Portable,False
Spider-Man: The Movie,XB,2002.0,Action,Activision,1.07,0.28,0.0,0.05,1.4,79.0,29.0,7.5,11.0,Treyarch,E,Xbox,True
LEGO Indiana Jones 2: The Adventure Continues,Wii,2009.0,Action,Activision,0.9,0.38,0.0,0.12,1.4,72.0,13.0,6.1,14.0,Traveller's Tales,E10+,Nintendo,True
Hannah Montana: Spotlight World Tour,Wii,2007.0,Action,Disney Interactive Studios,0.87,0.38,0.0,0.13,1.39,,,,,,,Nintendo,False
Far Cry 2,PS3,2008.0,Action,Ubisoft,0.43,0.69,0.01,0.26,1.38,85.0,49.0,6.4,241.0,Ubisoft Montreal,M,Playstation,True
True Crime: Streets of LA,XB,2003.0,Action,Activision,0.96,0.37,0.0,0.05,1.38,77.0,39.0,7.8,28.0,"Luxoflux, Inc.",M,Xbox,True
Toy Story 3: The Video Game,Wii,2010.0,Action,Disney Interactive Studios,0.63,0.62,0.0,0.14,1.38,,,,,,,Nintendo,False
Bakugan: Battle Brawlers,DS,2009.0,Action,Activision,1.26,0.02,0.0,0.1,1.38,60.0,6.0,6.7,7.0,Now Production,E,Portable,True
Dead Rising 2,PS3,2010.0,Action,Capcom,0.43,0.56,0.15,0.21,1.36,80.0,54.0,6.7,178.0,Blue Castle Games,M,Playstation,True
Devil May Cry 4,X360,2008.0,Action,Capcom,0.79,0.34,0.08,0.13,1.34,84.0,61.0,8,248.0,Capcom,M,Xbox,True
Spider-Man: The Movie,GBA,2002.0,Action,Activision,0.92,0.35,0.01,0.05,1.33,,,,,,,Portable,False
Assassin's Creed III: Liberation,PSV,2012.0,Action,Ubisoft,0.53,0.48,0.06,0.24,1.32,70.0,71.0,7.2,318.0,Ubisoft,M,Portable,True
[Prototype],X360,2009.0,Action,Activision,0.84,0.35,0.0,0.12,1.31,78.0,83.0,7.8,356.0,Radical Entertainment,M,Xbox,True
Skylanders Giants,X360,2012.0,Action,Activision,0.75,0.44,0.0,0.11,1.3,80.0,35.0,6.6,38.0,Toys for Bob,E10+,Xbox,True
Assassin's Creed Syndicate,XOne,2015.0,Action,Ubisoft,0.62,0.56,0.0,0.11,1.3,78.0,22.0,6.1,402.0,Ubisoft Quebec,M,Xbox,True
Resident Evil Zero,GC,2002.0,Action,Capcom,0.54,0.27,0.45,0.04,1.29,,,,,,,Portable,False
Assassin's Creed: Rogue,PS3,2014.0,Action,Ubisoft,0.46,0.56,0.06,0.2,1.29,72.0,53.0,7.5,292.0,Ubisoft Sofia,M,Playstation,True
Kung Fu Panda,DS,2008.0,Action,Activision,0.56,0.56,0.0,0.14,1.25,,,,,,,Portable,False
Watch Dogs,X360,2014.0,Action,Ubisoft,0.72,0.41,0.01,0.11,1.25,,,5,332.0,Ubisoft Montreal,M,Xbox,True
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004.0,Action,Ubisoft,0.52,0.56,0.0,0.17,1.25,87.0,45.0,8.6,34.0,Ubisoft Shanghai,T,Playstation,True
Ridge Racer V,PS2,2000.0,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,78.0,20.0,7.7,6.0,Namco,E,Playstation,True
Star Wars Episode III: Revenge of the Sith,XB,2005.0,Action,Activision,0.82,0.38,0.0,0.04,1.24,61.0,44.0,8.1,54.0,Double Helix Games,T,Xbox,True
[Prototype],PS3,2009.0,Action,Activision,0.65,0.4,0.0,0.19,1.24,79.0,53.0,7.7,308.0,Radical Entertainment,M,Playstation,True
Transformers: Autobots / Decepticons,DS,2007.0,Action,Activision,1.12,0.02,0.0,0.09,1.24,,,,,,,Portable,False
Assassin's Creed: Bloodlines,PSP,2009.0,Action,Ubisoft,0.43,0.47,0.05,0.28,1.23,63.0,38.0,7.2,69.0,Griptonite Games,M,Portable,True
Ben 10: Protector of Earth,Wii,2007.0,Action,D3Publisher,0.54,0.55,0.0,0.13,1.23,63.0,6.0,7.7,9.0,High Voltage Software,E10+,Nintendo,True
Spider-Man: The Movie,GC,2002.0,Action,Activision,0.86,0.27,0.01,0.04,1.19,76.0,14.0,7.3,11.0,Treyarch,E,Portable,True
LEGO Indiana Jones 2: The Adventure Continues,DS,2009.0,Action,Activision,0.65,0.42,0.0,0.11,1.18,59.0,4.0,tbd,,TT Fusion,E,Portable,True
One Piece: Pirate Warriors,PS3,2012.0,Action,Namco Bandai Games,0.01,0.23,0.86,0.08,1.18,64.0,33.0,6.5,55.0,"Omega Force, Tecmo Koei Games",T,Playstation,True
Resident Evil: Operation Raccoon City,PS3,2012.0,Action,Capcom,0.48,0.24,0.36,0.1,1.17,52.0,36.0,4.9,222.0,Slant Six,M,Playstation,True
Tenchu: Wrath of Heaven,PS2,2003.0,Action,Activision,0.44,0.34,0.25,0.11,1.14,79.0,33.0,8.4,38.0,K2 LLC,M,Playstation,True
007: Quantum of Solace,PS3,2008.0,Action,Activision,0.43,0.51,0.02,0.19,1.14,65.0,42.0,6.6,47.0,Treyarch,T,Playstation,True
Commando,NES,1986.0,Action,Capcom,0.71,0.16,0.25,0.03,1.14,,,,,,,Other,False
Watch Dogs 2,PS4,2016.0,Action,Ubisoft,0.37,0.58,0.0,0.18,1.13,83.0,88.0,7.8,621.0,Ubisoft Montreal,M,Playstation,True
Spider-Man 2,XB,2004.0,Action,Activision,0.82,0.26,0.0,0.04,1.12,83.0,60.0,8.3,40.0,Treyarch,T,Xbox,True
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS2,2007.0,Action,Activision,0.63,0.37,0.0,0.11,1.11,,,,,,,Playstation,False
Tom Clancy's Splinter Cell: Chaos Theory,XB,2005.0,Action,Ubisoft,0.68,0.38,0.0,0.05,1.11,94.0,70.0,9,160.0,Ubisoft Montreal,M,Xbox,True
Toy Story 3: The Video Game,PS3,2010.0,Action,Disney Interactive Studios,0.51,0.4,0.0,0.16,1.08,,,,,,,Playstation,False
Disney Infinity 2.0: Marvel Super Heroes,X360,2014.0,Action,Disney Interactive Studios,0.64,0.34,0.0,0.1,1.08,,,,,,,Xbox,False
Prince of Persia,PS3,2008.0,Action,Ubisoft,0.47,0.4,0.03,0.17,1.07,85.0,59.0,7.3,245.0,Ubisoft Montreal,T,Playstation,True
Skylanders Giants,PS3,2012.0,Action,Activision,0.36,0.49,0.0,0.2,1.06,77.0,21.0,6.3,18.0,Toys for Bob,E10+,Playstation,True
Spider-Man 2,GBA,2004.0,Action,Activision,0.76,0.28,0.0,0.02,1.06,65.0,12.0,7.7,6.0,Digital Eclipse,E,Portable,True
Resident Evil: The Darkside Chronicles,Wii,2009.0,Action,Capcom,0.46,0.31,0.2,0.09,1.05,75.0,55.0,8,60.0,Cavia Inc.,M,Nintendo,True
LEGO Pirates of the Caribbean: The Video Game,X360,2011.0,Action,Disney Interactive Studios,0.54,0.39,0.0,0.09,1.03,73.0,54.0,7,31.0,Traveller's Tales,E10+,Xbox,True
LEGO Indiana Jones: The Original Adventures,PS3,2008.0,Action,Activision,0.44,0.42,0.0,0.17,1.03,77.0,36.0,7.7,30.0,Traveller's Tales,E10+,Playstation,True
Final Fight 2,SNES,1993.0,Action,Capcom,0.39,0.12,0.49,0.02,1.02,,,,,,,Other,False
Disney Universe,Wii,2011.0,Action,Disney Interactive Studios,0.64,0.28,0.0,0.1,1.02,61.0,11.0,6,5.0,Eurocom Entertainment Software,E10+,Nintendo,True
LEGO Indiana Jones 2: The Adventure Continues,X360,2009.0,Action,Activision,0.62,0.31,0.0,0.09,1.02,71.0,41.0,7.4,25.0,Traveller's Tales,E10+,Xbox,True
Assassin's Creed: Rogue,X360,2014.0,Action,Ubisoft,0.58,0.34,0.0,0.09,1.01,72.0,32.0,7.3,318.0,Ubisoft,M,Xbox,True
Prince of Persia,X360,2008.0,Action,Ubisoft,0.54,0.34,0.02,0.1,1.01,81.0,73.0,7,189.0,Ubisoft Montreal,T,Xbox,True
ZombiU,WiiU,2012.0,Action,Ubisoft,0.52,0.36,0.05,0.08,1.01,77.0,70.0,7.7,758.0,Ubisoft Montpellier,M,Nintendo,True
Tom Clancy's Splinter Cell: Blacklist,X360,2013.0,Action,Ubisoft,0.57,0.32,0.01,0.08,0.98,82.0,58.0,7.5,383.0,Ubisoft Toronto,M,Xbox,True
Disney Infinity,PS3,2013.0,Action,Disney Interactive Studios,0.49,0.32,0.0,0.16,0.97,75.0,21.0,5.9,47.0,Avalanche Software,E10+,Playstation,True
Disney Tangled,DS,2010.0,Action,Disney Interactive Studios,0.53,0.35,0.0,0.09,0.97,,,,,,,Portable,False
Skylanders: Spyro's Adventure,X360,2011.0,Action,Activision,0.53,0.34,0.0,0.1,0.97,78.0,35.0,5.2,53.0,Toys for Bob,E10+,Xbox,True
The Witcher 2: Assassins of Kings,PC,2011.0,Action,Namco Bandai Games,0.25,0.56,0.0,0.14,0.96,88.0,76.0,8.5,4378.0,CD Projekt Red Studio,M,PC,True
Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005.0,Action,Ubisoft,0.36,0.45,0.0,0.14,0.95,87.0,29.0,8.6,53.0,Ubisoft Montreal,M,Playstation,True
Disney Infinity 2.0: Marvel Super Heroes,PS3,2014.0,Action,Disney Interactive Studios,0.46,0.33,0.0,0.16,0.95,,,,,,,Playstation,False
Epic Mickey 2: The Power of Two,Wii,2012.0,Action,Disney Interactive Studios,0.67,0.21,0.0,0.07,0.95,,,,,,,Nintendo,False
Mega Man Star Force Dragon / Leo / Pegasus,DS,2006.0,Action,Capcom,0.39,0.0,0.53,0.03,0.95,,,,,,,Portable,False
Skylanders: Trap Team,Wii,2014.0,Action,Activision,0.41,0.46,0.0,0.08,0.95,,,tbd,,Toys for Bob,E10+,Nintendo,True
LEGO Pirates of the Caribbean: The Video Game,PS3,2011.0,Action,Disney Interactive Studios,0.36,0.43,0.0,0.16,0.95,73.0,42.0,7.1,34.0,Traveller's Tales,E10+,Playstation,True
Tom Clancy's Splinter Cell: Blacklist,PS3,2013.0,Action,Ubisoft,0.34,0.39,0.06,0.15,0.94,84.0,27.0,7.7,314.0,Ubisoft Toronto,M,Playstation,True
Skylanders: Spyro's Adventure,PS3,2011.0,Action,Activision,0.39,0.39,0.0,0.16,0.94,77.0,18.0,4.8,42.0,Toys for Bob,E10+,Playstation,True
Prince of Persia: The Sands of Time,XB,2003.0,Action,Ubisoft,0.57,0.33,0.0,0.04,0.94,92.0,41.0,7.8,72.0,Ubisoft,T,Xbox,True
Assassin's Creed III,PC,2012.0,Action,Ubisoft,0.28,0.53,0.0,0.12,0.93,80.0,21.0,6.2,1489.0,Ubisoft,M,PC,True
Kung Fu Panda,Wii,2008.0,Action,Activision,0.5,0.32,0.0,0.09,0.91,70.0,20.0,6.7,7.0,Xpec,E10+,Nintendo,True
The Witcher 2: Assassins of Kings,X360,2012.0,Action,Namco Bandai Games,0.48,0.32,0.02,0.08,0.9,88.0,82.0,8.3,818.0,CD Projekt Red Studio,M,Xbox,True
Avatar: The Game,PS3,2009.0,Action,Ubisoft,0.32,0.42,0.0,0.16,0.9,,,,,,,Playstation,False
LEGO Pirates of the Caribbean: The Video Game,DS,2011.0,Action,Disney Interactive Studios,0.34,0.46,0.0,0.1,0.9,69.0,5.0,tbd,,Traveller's Tales,E10+,Portable,True
Skylanders: Trap Team,X360,2014.0,Action,Activision,0.54,0.27,0.0,0.08,0.9,,,tbd,,Toys for Bob,E10+,Xbox,True
LEGO Indiana Jones 2: The Adventure Continues,PS3,2009.0,Action,Activision,0.47,0.29,0.0,0.13,0.89,70.0,25.0,7.1,16.0,Traveller's Tales,E10+,Playstation,True
Far Cry: Primal,XOne,2016.0,Action,Ubisoft,0.47,0.33,0.0,0.08,0.88,77.0,27.0,6.4,194.0,Ubisoft Montreal,M,Xbox,True
Resident Evil: Revelations,3DS,2012.0,Action,Capcom,0.3,0.22,0.3,0.05,0.88,82.0,78.0,8.5,397.0,Capcom,M,Portable,True
Spider-Man 2,GC,2004.0,Action,Activision,0.65,0.17,0.0,0.02,0.84,80.0,41.0,8.8,30.0,Treyarch,T,Portable,True
Ben 10: Protector of Earth,PS2,2007.0,Action,D3Publisher,0.09,0.0,0.0,0.74,0.84,,,7.6,14.0,High Voltage Software,E10+,Playstation,True
Lizzie McGuire 2: Lizzie Diaries,GBA,2004.0,Action,Disney Interactive Studios,0.6,0.22,0.0,0.01,0.83,57.0,6.0,5,5.0,Artificial Mind and Movement,E,Portable,True
Devil May Cry HD Collection,PS3,2012.0,Action,Capcom,0.42,0.19,0.11,0.09,0.82,74.0,27.0,8.8,158.0,"Capcom, Pipeworks Software, Inc.",M,Playstation,True
Disney's The Little Mermaid: Ariel's Undersea Adventure,DS,2006.0,Action,Disney Interactive Studios,0.72,0.03,0.0,0.06,0.8,,,7,4.0,Gorilla Systems,E,Portable,True
Prince of Persia: Warrior Within,XB,2004.0,Action,Ubisoft,0.48,0.28,0.0,0.04,0.8,83.0,55.0,7.5,35.0,Ubisoft Montreal,M,Xbox,True
DmC: Devil May Cry,PS3,2013.0,Action,Capcom,0.24,0.26,0.19,0.1,0.79,85.0,40.0,5.3,1471.0,Ninja Theory,M,Playstation,True
[Prototype 2],X360,2012.0,Action,Activision,0.48,0.24,0.0,0.07,0.79,74.0,69.0,7,173.0,Radical Entertainment,M,Xbox,True
The Amazing Spider-Man (Console Version),PS3,2012.0,Action,Activision,0.31,0.35,0.0,0.13,0.79,,,,,,,Playstation,False
Tom Clancy's Splinter Cell: Double Agent,X360,2006.0,Action,Ubisoft,0.67,0.04,0.01,0.06,0.78,85.0,59.0,8.1,148.0,Ubisoft Shanghai,M,Xbox,True
Avatar: The Game,X360,2009.0,Action,Ubisoft,0.34,0.35,0.0,0.08,0.77,,,,,,,Xbox,False
Resident Evil: Operation Raccoon City,X360,2012.0,Action,Capcom,0.55,0.14,0.03,0.06,0.77,52.0,56.0,4.9,330.0,Slant Six,M,Xbox,True
Toy Story 3: The Video Game,X360,2010.0,Action,Disney Interactive Studios,0.41,0.27,0.0,0.07,0.76,,,,,,,Xbox,False
True Crime: New York City,PS2,2005.0,Action,Activision,0.57,0.02,0.07,0.09,0.76,,,,,,,Playstation,False
Shark Tale,PS2,2004.0,Action,Activision,0.37,0.29,0.0,0.1,0.75,69.0,30.0,6.5,6.0,Edge of Reality,E,Playstation,True
Assassin's Creed: Revelations,PC,2011.0,Action,Ubisoft,0.14,0.48,0.0,0.12,0.74,80.0,20.0,7.4,771.0,Ubisoft Montreal,M,PC,True
[Prototype 2],PS3,2012.0,Action,Activision,0.36,0.28,0.0,0.1,0.74,79.0,39.0,6.8,179.0,Radical Entertainment,M,Playstation,True
Resident Evil: Revelations,PS3,2013.0,Action,Capcom,0.14,0.29,0.22,0.09,0.74,74.0,30.0,7.2,204.0,Capcom,M,Playstation,True
Ace Combat: Assault Horizon,PS3,2011.0,Action,Namco Bandai Games,0.3,0.15,0.22,0.07,0.74,77.0,28.0,6.7,82.0,Project Aces,T,Playstation,True
X-Men Origins: Wolverine - Uncaged Edition,PS3,2009.0,Action,Activision,0.31,0.31,0.0,0.12,0.74,,,,,,,Playstation,False
Madagascar: Escape 2 Africa,DS,2008.0,Action,Activision,0.41,0.25,0.0,0.07,0.73,55.0,6.0,tbd,,Amaze Entertainment,E,Portable,True
Pirates of the Caribbean: At World's End,PS3,2007.0,Action,Disney Interactive Studios,0.17,0.41,0.0,0.15,0.73,55.0,24.0,6.9,19.0,Eurocom Entertainment Software,T,Playstation,True
The Amazing Spider-Man (Console Version),X360,2012.0,Action,Activision,0.43,0.24,0.0,0.06,0.73,,,,,,,Xbox,False
Star Wars Episode III: Revenge of the Sith,GBA,2005.0,Action,Ubisoft,0.52,0.19,0.0,0.01,0.72,73.0,13.0,7.5,12.0,Ubisoft,E10+,Portable,True
